2022-01-15 11:09:39,113 | INFO       | server       | Сервер запущен. host: "127.0.0.1", port: 7777 
2022-01-15 11:09:39,113 | INFO       | server       | Сервер запущен. host: "127.0.0.1", port: 7777 
2022-01-15 11:16:09,854 | INFO       | server       | Подключен клиент: 127.0.0.1:7777 
2022-01-15 11:16:09,854 | INFO       | server       | Подключен клиент: 127.0.0.1:7777 
2022-01-15 11:16:09,860 | INFO       | server       | Получено сообщение от клиента. Код: 200 
2022-01-15 11:16:09,860 | INFO       | server       | Получено сообщение от клиента. Код: 200 
2022-01-15 11:17:19,504 | INFO       | server       | Сервер запущен. host: "127.0.0.1", port: 7777 
2022-01-15 11:21:51,819 | INFO       | server       | Сервер запущен. host: "127.0.0.1", port: 7777 
2022-01-15 11:21:58,202 | INFO       | client       | Подключен пользователь - 127.0.0.1:7777 
2022-01-15 11:21:58,202 | INFO       | server       | Подключен клиент: 127.0.0.1:7777 
2022-01-15 11:21:58,202 | INFO       | client       | Отправлено сообщение на сервер 
2022-01-15 11:21:58,202 | INFO       | server       | Получено сообщение от клиента. Код: 200 
2022-01-15 11:21:58,217 | DEBUG      | decorators   | Функция processing_client_message вызвана из функции start_server 
2022-01-15 11:21:58,217 | INFO       | client       | Ответ сервера получен. Код: 200 
2022-01-15 11:21:58,232 | DEBUG      | decorators   | Функция get_answer вызвана из функции send_message 
2022-01-15 11:21:58,232 | DEBUG      | decorators   | Функция send_message вызвана из функции main 
2022-01-15 11:23:08,416 | INFO       | client       | Подключен пользователь - 127.0.0.1:7777 
2022-01-15 11:23:08,416 | INFO       | client       | Отправлено сообщение на сервер 
2022-01-15 11:23:17,448 | INFO       | server       | Сервер запущен. host: "127.0.0.1", port: 7777 
2022-01-15 11:23:23,171 | INFO       | client       | Подключен пользователь - 127.0.0.1:7777 
2022-01-15 11:23:23,171 | INFO       | server       | Подключен клиент: 127.0.0.1:7777 
2022-01-15 11:23:23,171 | INFO       | client       | Отправлено сообщение на сервер 
2022-01-15 11:23:23,171 | INFO       | server       | Получено сообщение от клиента. Код: 200 
2022-01-15 11:23:23,185 | DEBUG      | decorators   | Функция processing_client_message вызвана из функции start_server 
2022-01-15 11:23:23,185 | INFO       | client       | Ответ сервера получен. Код: 200 
2022-01-15 11:23:23,200 | DEBUG      | decorators   | Функция get_answer вызвана из функции send_message 
2022-01-15 11:23:23,200 | DEBUG      | decorators   | Функция send_message вызвана из функции main 
2022-01-15 11:28:49,891 | INFO       | server       | Сервер запущен. host: "127.0.0.1", port: 7777 
2022-01-15 11:30:04,297 | INFO       | server       | Сервер запущен. host: "127.0.0.1", port: 7777 
2022-01-15 11:31:14,967 | INFO       | server       | Сервер запущен. host: "127.0.0.1", port: 7777 
2022-01-15 11:31:19,869 | INFO       | client       | Подключен пользователь - 127.0.0.1:7777 
2022-01-15 11:31:19,884 | DEBUG      | decorators   | Функция processing_client_message вызвана из функции start_server
2022-01-15 11:31:19,884 | INFO       | client       | Ответ сервера получен. Код: 200 
2022-01-15 11:31:19,900 | DEBUG      | decorators   | Функция get_answer вызвана из функции send_message 
2022-01-15 11:31:19,900 | DEBUG      | decorators   | Функция send_message вызвана из функции main 
2022-01-15 11:31:51,464 | INFO       | client       | Подключен пользователь - 127.0.0.1:7777 
2022-01-15 11:31:51,464 | INFO       | client       | Отправлено сообщение на сервер 
2022-01-15 11:31:51,464 | INFO       | server       | Подключен клиент: 127.0.0.1:7777 
2022-01-15 11:31:51,464 | INFO       | server       | Получено сообщение от клиента. Код: 200 
2022-01-15 11:31:51,465 | DEBUG      | decorators   | Функция processing_client_message вызвана из функции start_server 
2022-01-15 11:31:51,465 | INFO       | client       | Ответ сервера получен. Код: 200 
2022-01-15 11:31:51,481 | DEBUG      | decorators   | Функция get_answer вызвана из функции send_message 
2022-01-15 11:31:51,481 | DEBUG      | decorators   | Функция send_message вызвана из функции main 
2022-01-15 11:32:11,698 | INFO       | client       | Подключен пользователь - 127.0.0.1:7777 
2022-01-15 11:32:11,698 | INFO       | server       | Подключен клиент: 127.0.0.1:7777 
2022-01-15 11:32:11,698 | INFO       | client       | Отправлено сообщение на сервер 
2022-01-15 11:32:11,698 | INFO       | server       | Получено сообщение от клиента. Код: 200 
2022-01-15 11:32:11,699 | DEBUG      | decorators   | Функция processing_client_message вызвана из функции start_server 
2022-01-15 11:32:11,699 | INFO       | client       | Ответ сервера получен. Код: 200 
2022-01-15 11:32:11,714 | DEBUG      | decorators   | Функция get_answer вызвана из функции send_message 
2022-01-15 11:32:11,714 | DEBUG      | decorators   | Функция send_message вызвана из функции main 
2022-01-15 13:13:41,992 | INFO       | server       | Сервер запущен. host: "127.0.0.1", port: 7777 
2022-01-15 13:14:06,461 | INFO       | server       | Сервер запущен. host: "127.0.0.1", port: 7777 
2022-01-15 13:14:20,224 | INFO       | client       | Подключен пользователь - 127.0.0.1:7777 
2022-01-15 13:14:20,224 | INFO       | client       | Отправлено сообщение на сервер 
2022-01-15 13:14:20,224 | INFO       | server       | Получено сообщение от клиента. Код: 200 
2022-01-15 13:14:20,238 | DEBUG      | decorators   | Функция processing_client_message вызвана из функции start_server 
2022-01-15 13:14:20,238 | INFO       | server       | Подключен клиент: 127.0.0.1:7777 
2022-01-15 13:14:20,239 | INFO       | client       | Ответ сервера получен. Код: 200 
2022-01-15 13:14:20,253 | DEBUG      | decorators   | Функция get_answer вызвана из функции send_message 
2022-01-15 13:14:20,253 | DEBUG      | decorators   | Функция send_message вызвана из функции main 
2022-01-15 13:18:27,187 | INFO       | server       | Сервер запущен. host: "127.0.0.1", port: 7777 
2022-01-15 13:18:33,707 | INFO       | client       | Подключен пользователь - 127.0.0.1:7777 
2022-01-15 13:18:33,708 | INFO       | client       | Отправлено сообщение на сервер 
2022-01-15 13:18:33,708 | INFO       | server       | Получено сообщение от клиента. Код: 200 
2022-01-15 13:18:33,722 | DEBUG      | decorators   | Функция processing_client_message вызвана из функции start_server 
2022-01-15 13:18:33,722 | INFO       | server       | Подключен клиент: 127.0.0.1:7777 
2022-01-15 13:18:33,722 | INFO       | client       | Ответ сервера получен. Код: 200 
2022-01-15 13:18:33,737 | DEBUG      | decorators   | Функция get_answer вызвана из функции send_message 
2022-01-15 13:18:33,737 | DEBUG      | decorators   | Функция send_message вызвана из функции main 
2022-01-15 13:18:48,277 | INFO       | client       | Подключен пользователь - 127.0.0.1:7777 
2022-01-15 13:18:48,278 | INFO       | client       | Отправлено сообщение на сервер 
2022-01-15 13:18:48,278 | INFO       | server       | Получено сообщение от клиента. Код: 200 
2022-01-15 13:18:48,278 | DEBUG      | decorators   | Функция processing_client_message вызвана из функции start_server 
2022-01-15 13:18:48,278 | INFO       | server       | Подключен клиент: 127.0.0.1:7777 
2022-01-15 13:18:48,279 | INFO       | client       | Ответ сервера получен. Код: 200 
2022-01-15 13:18:48,293 | DEBUG      | decorators   | Функция get_answer вызвана из функции send_message 
2022-01-15 13:18:48,294 | DEBUG      | decorators   | Функция send_message вызвана из функции main 
2022-01-15 13:19:22,390 | INFO       | client       | Подключен пользователь - 127.0.0.1:7777 
2022-01-15 13:19:22,391 | INFO       | client       | Отправлено сообщение на сервер 
2022-01-15 13:19:22,391 | INFO       | server       | Получено сообщение от клиента. Код: 200 
2022-01-15 13:19:22,391 | DEBUG      | decorators   | Функция processing_client_message вызвана из функции start_server 
2022-01-15 13:19:22,391 | INFO       | server       | Подключен клиент: 127.0.0.1:7777 
2022-01-15 13:19:22,392 | INFO       | client       | Ответ сервера получен. Код: 200 
2022-01-15 13:19:22,407 | DEBUG      | decorators   | Функция get_answer вызвана из функции send_message 
2022-01-15 13:19:22,407 | DEBUG      | decorators   | Функция send_message вызвана из функции main 
2022-01-15 13:20:39,728 | INFO       | server       | Сервер запущен. host: "127.0.0.1", port: 7777 
2022-01-15 13:20:44,395 | INFO       | client       | Подключен пользователь - 127.0.0.1:7777 
2022-01-15 13:20:44,395 | INFO       | client       | Отправлено сообщение на сервер 
2022-01-15 13:20:44,395 | INFO       | server       | Получено сообщение от клиента. Код: 200 
2022-01-15 13:20:44,410 | DEBUG      | decorators   | Функция processing_client_message вызвана из функции start_server 
2022-01-15 13:20:44,410 | INFO       | server       | Подключен клиент: 127.0.0.1:7777 
2022-01-15 13:20:44,410 | INFO       | client       | Ответ сервера получен. Код: 200 
2022-01-15 13:20:44,424 | DEBUG      | decorators   | Функция get_answer вызвана из функции send_message 
2022-01-15 13:20:44,425 | DEBUG      | decorators   | Функция send_message вызвана из функции main 
