2022-01-23 08:42:25,278 DEBUG     server Application is started
2022-01-23 08:42:25,287 INFO      messenger Сервер создан и будет прослушивать порт 7777
2022-01-23 08:42:25,288 DEBUG     decorators Функция <listen> вызвана из функции <main> (line 14) с параметрами ()
2022-01-23 08:42:47,000 DEBUG     decorators Функция <receive_data> вызвана из функции <process_clients> (line 262) с параметрами ([<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50318)>], [<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50318)>])
2022-01-23 08:42:47,000 DEBUG     decorators Функция <receive> вызвана из функции <receive_data> (line 63) с параметрами (<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50318)>,)
2022-01-23 08:42:47,001 DEBUG     decorators Функция <process_request> вызвана из функции <process_requests> (line 276) с параметрами (<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50318)>, {'action': 'presence', 'time': 1642898565.987233, 'type': 'status', 'user': {'account_name': 'user-1', 'status': 'Online'}}, [<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50318)>])
2022-01-23 08:42:47,001 DEBUG     decorators Функция <presence> вызвана из функции <process_request> (line 292) с параметрами (<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50318)>, {'action': 'presence', 'time': 1642898565.987233, 'type': 'status', 'user': {'account_name': 'user-1', 'status': 'Online'}}, [<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50318)>])
2022-01-23 08:42:47,001 INFO      messenger User user-1 logged in
2022-01-23 08:42:47,001 DEBUG     decorators Функция <ok_response> вызвана из функции <presence> (line 311) с параметрами (<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50318)>, 200)
2022-01-23 08:42:47,001 INFO      decorators 200: 
2022-01-23 08:42:47,001 DEBUG     decorators Функция <send_data> вызвана из функции <process_clients> (line 264) с параметрами ({<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50318)>: {'code': 200, 'time': 1642898567.0015068, 'alert': ''}}, [<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50318)>])
2022-01-23 08:42:47,001 DEBUG     decorators Функция <send> вызвана из функции <send_data> (line 41) с параметрами (<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50318)>, {'code': 200, 'time': 1642898567.0015068, 'alert': ''})
2022-01-23 08:47:06,878 DEBUG     decorators Функция <receive_data> вызвана из функции <process_clients> (line 262) с параметрами ([<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50318)>], [<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50318)>])
2022-01-23 08:47:06,878 DEBUG     decorators Функция <receive> вызвана из функции <receive_data> (line 63) с параметрами (<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50318)>,)
2022-01-23 08:47:06,879 DEBUG     decorators Функция <send_data> вызвана из функции <process_clients> (line 264) с параметрами ({}, [])
2022-01-23 08:47:06,879 INFO      messenger User user-1 logged out
2022-01-23 08:50:13,826 DEBUG     server Application is started
2022-01-23 08:50:13,835 INFO      messenger Сервер создан и будет прослушивать порт 7777
2022-01-23 08:50:13,835 DEBUG     decorators Функция <listen> вызвана из функции <main> (line 14) с параметрами ()
